Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Max SOC,Min SOC,Percent Idling Time,Drive Cycle,Energy Consumed While Driving,Energy Consumed While Idling,Average Speed,Maximum Speed
EV146,11/09/2022,,75.2666925157083,1.4615480555555556,2.7270683333333334,4.188616388888889,100,75.3225,97.055,134.506725,36.32,10931.1433727034,11006.416278931,100,45.4525,0.3489333755730396,,119.991491,14.512064,14.5179249236049,55.1879560864551
EV146,11/10/2022,,33.4608387019804,0.7402180555555555,1.236605,1.9768230555555555,100,100,44.05,63.522861,30.56,11006.416278931,11039.8833313449,100,44.9825,0.3744483116358276,,56.495156,7.025969,6.9948488834466,62.1565370734908
EV146,11/14/2022,,75.3101884991649,1.3152927777777779,2.684289722222222,3.9995825,100,14.285,107.21,133.007649,23.36,11039.8833313449,11115.199733556,100,14.285,0.32885751894798465,,119.93951,13.061647,15.6027993892716,58.0059719985286
EV146,11/15/2022,,63.9328819692993,1.6657822222222223,2.587251388888889,4.253033611111111,80,25.9725,91.39,108.527699,23.18,11115.199733556,11179.1388292373,80,11.0025,0.3916691882872363,,98.79626,9.730714,12.3135874891885,57.3870278821681
EV146,11/16/2022,,75.4220353137676,1.4391341666666666,2.8031094444444444,4.242243611111111,39.1925,74.0225,97.125,131.848126,27.86,11179.1388292373,11254.5670782629,100,3.085,0.33923892604784533,,118.872647,12.970715,14.3686854939031,57.8482015032212
EV146,11/17/2022,,34.1629881492086,2.9759766666666665,1.6201477777777777,4.5961244444444445,100,33.2925,53.8225,78.412349,17.96,11254.5670782629,11288.7362801241,100,32.4625,0.6474969732953754,,65.828465,12.578843,7.06002935156223,49.0931789598743
EV146,11/18/2022,,0.192625069593574,0.033023888888888894,0.022337777777777776,0.05536166666666667,29.34,28.2725,0.5,0.529168,13.64,11288.7362801241,11288.9351189056,29.34,28.2725,0.5965118262736953,,0.458345,0.060155,1.97042633520242,9.85213167601209
EV146,11/22/2022,,0.0434959834566134,0.025404444444444445,0.0081425,0.03354694444444445,23.7425,53.2675,1.24,0.098719,40.64,11288.9351189056,11288.984828601,53.2675,23.7425,0.7572804279243844,,0.052787,0.040287,0.248901528708705,8.21375044738726
EV146,11/28/2022,,0.360395291497654,0.07414694444444443,0.049222777777777775,0.1233697222222222,100,100,0,1.385219,38.12,11289.1277439752,11289.4322158594,100,100,0.6010141152047481,,0.984289,0.398405,2.22880502863278,8.92492903940985
EV146,12/01/2022,,,0.04521805555555555,0,0.04521805555555555,,,,,46.76,,,,,1,,,,,
EV146,12/02/2022,,,0.12487583333333334,0,0.12487583333333334,,,,,34.7,,,,,1,,,,,
