Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Percent Idling Time,Drive Cycle,Average Speed
EV192,01/25/2023 06:59:00,01/25/2023 09:05:00,30,0.29000000000000004,1.62,1.92,100,70.4,29.6,63.4,51.2666666666667,3508,3538,0.1518324607329843,,16.668512043512045
EV192,01/25/2023 15:15:00,01/25/2023 16:39:00,21,0.2,1.2,1.4,100,83.2,16.8,36,63.1,3538,3559,0.14285714285714288,,14.650000000000002
EV192,01/26/2023 06:51:00,01/26/2023 09:05:00,30,0.27,1.67,1.94,100,74,25.6,54.8,60.12,3559,3589,0.13917525773195877,,9.193963384463137
EV192,01/26/2023 14:08:00,01/26/2023 17:05:00,42,0.49,2.1399999999999997,2.63,100,62.8,37.2,79.60000000000001,67.8,3589,3631,0.18631178707224336,,16.085216572504706
EV192,01/27/2023 07:01:00,01/27/2023 08:38:00,31,0.26,1.31,1.56,100,68,32,68.5,52.3,3631,3662,0.16560509554140126,,22.202512934220252
EV192,01/27/2023 15:09:00,01/27/2023 16:18:00,20,0.22,0.93,1.15,100,83.2,16.8,36,63.8,3662,3682,0.19130434782608693,,17.286956521739132
EV192,01/31/2023 07:02:00,01/31/2023 08:58:00,30,0.36,1.52,1.88,100,68,32,68.5,51.9,3682,3712,0.19148936170212766,,15.867021276595745
EV192,01/31/2023 15:08:00,01/31/2023 17:01:00,24,0.21000000000000002,1.2699999999999998,1.48,100,77.2,22.8,48.8,59.7,3712,3736,0.14189189189189194,,9.097476597476597
EV192,02/01/2023 07:06:00,02/01/2023 08:49:00,30,0.23,1.49,1.72,100,70.8,29.2,62.5,49.1,3736,3766,0.13372093023255816,,16.97674418604651
EV192,02/01/2023 12:18:00,02/01/2023 14:07:00,31,0.15,1.3699999999999999,1.52,94,64,30,64.2,69.05,3766,3797,0.0986842105263158,,16.630656934306568
EV192,02/02/2023 07:03:00,02/02/2023 08:47:00,29,0.32,1.41,1.74,100,69.6,30.4,65.1,50.6,3797,3826,0.18497109826589597,,16.7816091954023
EV192,02/02/2023 14:15:00,02/02/2023 16:58:00,44,0.5,2.18,2.69,88.8,50.4,38.4,82.2,67.2333333333333,3826,3870,0.18656716417910446,,5.430711610486892
EV192,02/03/2023 06:58:00,02/03/2023 08:48:00,30,0.34,1.48,1.83,100,74.8,25.2,53.9,53.7,3870,3900,0.18681318681318682,,16.30054644808743
EV192,02/03/2023 15:07:00,02/03/2023 17:03:00,21,0.42,1.3,1.71,100,82.4,17.599999999999998,37.699999999999996,63.85,3900,3921,0.2441860465116279,,6.659090909090909
EV192,02/06/2023 07:09:00,02/06/2023 08:48:00,31,0.06,1.58,1.6500000000000001,100,71.2,28.8,61.6,54.05,3921,3952,0.036585365853658534,,21.890151515151516
EV192,02/06/2023 13:42:00,02/06/2023 16:28:00,44,0.52,2,2.5300000000000002,100,59.6,40.4,86.5,62.8333333333333,3952,3996,0.20634920634920637,,16.700883838383838
EV192,02/07/2023 06:49:00,02/07/2023 08:51:00,30,0.45,1.54,1.99,100,68.4,31.6,67.6,50.8,3996,4026,0.22613065326633167,,5.506743737957611
EV192,02/07/2023 13:53:00,02/07/2023 14:29:00,17,0.03,0.59,0.62,100,85.2,14.8,31.7,69.2,4026,4043,0.04838709677419355,,28.064516129032256
EV192,02/07/2023 14:53:00,02/07/2023 16:36:00,25,0.34,1.37,1.72,85.2,58.8,26.4,56.5,67.9,4043,4068,0.19883040935672514,,14.447674418604652
EV192,02/08/2023 07:15:00,02/08/2023 08:53:00,30,0.16,1.47,1.63,100,70.4,29.6,63.3,54.4,4068,4098,0.09815950920245399,,17.914110429447852
EV192,02/08/2023 12:11:00,02/08/2023 14:45:00,45,0.34,1.9,2.2399999999999998,92.8,51.2,41.6,89,70.7,4098,4143,0.1517857142857143,,16.45598086124402
EV192,02/09/2023 07:12:00,02/09/2023 08:58:00,30,0.19,1.58,1.77,100,70,30,64.2,57.8,4143,4173,0.10734463276836158,,16.497175141242938
EV192,02/09/2023 14:09:00,02/09/2023 16:36:00,42,0.25,1.8499999999999999,2.1,100,60,40,85.7,77.925,4173,4215,0.11904761904761907,,13.41351560985069
EV192,02/10/2023 13:22:00,02/10/2023 15:15:00,36,0.19,1.44,1.6300000000000001,100,67.2,32.8,70.2,74.55,4245,4281,0.11656441717791412,,23.77389705882353
EV192,02/10/2023 15:52:00,02/10/2023 16:16:00,16,0,0.4,0.4,67.2,52,15.2,32.5,70.4,4281,4297,0,,38.824999999999996
EV192,02/13/2023 07:03:00,02/13/2023 08:41:00,30,0.35,1.29,1.63,100,73.6,26.4,56.5,49.9,4297,4327,0.21341463414634143,,17.533742331288344
EV192,02/13/2023 15:03:00,02/13/2023 16:06:00,19,0.14,0.92,1.05,100,82,18,38.5,59,4327,4346,0.1320754716981132,,18.342857142857145
