Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Percent Idling Time,Drive Cycle
EV133,03/17/2020,,,,,23.76,,,,,31.1,,,,
EV133,03/18/2020,,,,,22.35,,,,,31.37,,,,
EV133,03/19/2020,,,,,23.07,,,,,30.064999999999998,,,,
EV133,03/20/2020,,,,,23.48,,,,,31.37,,,,
EV133,03/21/2020,,,,,,,,,,34.16,,,,
EV133,03/22/2020,,,,,,,,,,34.025,,,,
EV133,03/23/2020,,,,,23.34,,,,,33.935,,,,
EV133,03/24/2020,,,,,23.19,,,,,27.68,,,,
EV133,03/25/2020,,,,,23.98,,,,,26.825,,,,
EV133,03/26/2020,,,,,,,,,,26.105,,,,
EV133,03/27/2020,,,,,,,,,,28.985,,,,
EV133,03/28/2020,,,,,,,,,,33.215,,,,
EV133,03/29/2020,,,,,,,,,,35.6,,,,
EV133,03/30/2020,,,,,,,,,,33.8,,,,
EV133,03/31/2020,,,,,,,,,,28.04,,,,
EV133,04/01/2020,,,,,23.77,,,,,23.585,,,,
EV133,04/02/2020,,,,,23.23,,,,,21.965,,,,
EV133,04/03/2020,,,,,23.66,,,,,24.665,,,,
EV133,04/04/2020,,,,,,,,,,28.265,,,,
EV133,04/05/2020,,,,,,,,,,35.285,,,,
EV133,04/06/2020,,,,,23.62,,,,,36.365,,,,
EV133,04/07/2020,,,,,21.18,,,,,38.84,,,,
EV133,04/08/2020,,,,,23.66,,,,,39.29,,,,
EV133,04/09/2020,,,,,14.31,,,,,42.935,,,,
EV133,04/16/2020,,,,,9.85,,,,,27.365000000000002,,,,
EV133,04/24/2020,,,,,1.99,,,,,39.335,,,,
EV133,05/04/2020,,,,,0.41,,,,,36.589999999999996,,,,
EV133,05/05/2020,,,,,0.35,,,,,46.355000000000004,,,,
EV133,05/11/2020,,8.26,,,1.04,,,,20.6,39.155,,,,
EV133,06/10/2020,,7.97,,,0.66,,,,13.25,50.18,,,,
EV133,06/12/2020,,94.4,,,14.44,,,,153.21,65.345,,,,
EV133,06/13/2020,,85.25,,,23.39,,,,145.67,55.85000000000001,,,,
EV133,06/14/2020,,0,,,23.83,,,,0,40.37,,,,
EV133,06/15/2020,,84.29,,,17.84,,,,152.16,41.765,,,,
EV133,06/16/2020,,94.77,,,21.25,,,,141.79,46.265,,,,
EV133,06/17/2020,,87.17,,,16.05,,,,160.71,46.175,,,,
EV133,06/18/2020,,47.15,,,10.27,,,,70.56,48.83,,,,
EV133,06/19/2020,,59.4,,,11.39,,,,95.35,52.16,,,,
EV133,06/22/2020,,94.66,,,14.58,,,,154.53,58.010000000000005,,,,
EV133,06/23/2020,,65.36,,,13.94,,,,110.06,63.905,,,,
EV133,06/24/2020,,93,,,13.6,,,,164.83,64.715,,,,
EV133,06/25/2020,,80.71,,,21.15,,,,157.44,62.78,,,,
EV133,06/26/2020,,93.12,,,17.63,,,,178.91,64.94,,,,
EV133,06/27/2020,,0.03,,,9.51,,,,0.71,60.575,,,,
EV133,06/28/2020,,,,,,,,,,48.47,,,,
EV133,06/29/2020,,84,,,17.59,,,,173.18,44.195,,,,
EV133,06/30/2020,,47.58,,,22.46,,,,91.34,43.519999999999996,,,,
EV133,07/01/2020,,83.7,,,21.77,,,,143.01,45.905,,,,
EV133,07/02/2020,,104.87,,,19.41,,,,173.26,50.27,,,,
EV133,07/03/2020,,84.44,,,16.76,,,,155.09,59.855,,,,
EV133,07/06/2020,,121.31,,,14.19,,,,228.12,61.655,,,,
EV133,07/07/2020,,44.82,,,13.58,,,,71.2,55.129999999999995,,,,
EV133,07/08/2020,,93.21,,,13.78,,,,151.08,51.89,,,,
EV133,07/09/2020,,84.41,,,20.83,,,,140,56.975,,,,
EV133,07/10/2020,,80.99,,,15.73,,,,146.58,55.445,,,,
EV133,07/13/2020,,50.92,,,6.72,,,,94.89,54.14,,,,
EV133,07/14/2020,,114.88,,,14.59,,,,200.14,54.32,,,,
EV133,07/15/2020,,84.58,,,20.3,,,,164.34,59,,,,
EV133,07/16/2020,,84.36,,,18.22,,,,152.3,62.825,,,,
EV133,07/17/2020,,50.95,,,11.43,,,,75.93,60.620000000000005,,,,
EV133,07/20/2020,,36.62,,,5.94,,,,62.3,64.49000000000001,,,,
EV133,07/21/2020,,58.32,,,8.06,,,,102.09,66.47,,,,
EV133,07/22/2020,,89.09,,,14.07,,,,181.26,67.1,,,,
EV133,07/23/2020,,85.08,,,15.69,,,,143.29,62.96,,,,
EV133,07/24/2020,,89.05,,,14.03,,,,156.66,61.42999999999999,,,,
EV133,07/25/2020,,0.13,,,10.85,,,,1.07,59.765,,,,
EV133,07/27/2020,,98.03,,,13.61,,,,189.57,68.72,,,,
EV133,07/28/2020,,90.01,,,13.98,,,,171.41,68.58500000000001,,,,
EV133,07/29/2020,,126.08,,,19.22,,,,210.53,65.93,,,,
EV133,07/30/2020,,102.86,,,14.54,,,,196.65,69.62,,,,
EV133,07/31/2020,,89,,,23.24,,,,172.78,73.08500000000001,,,,
EV133,08/01/2020,,,,,,,,,,74.47999999999999,,,,
