Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer
EV026,3/21/18 5:41 AM,3/21/18 6:57 AM,19.2,0.186,1.078,1.264,93,59.5,33.5,38.096,52.16,,
EV026,3/20/18 5:41 AM,3/20/18 6:10 PM,148.738,3.436,9.053,12.489,94.5,93.5,1,310.969,54.32,,
EV026,3/19/18 5:11 PM,3/19/18 6:10 PM,14.237,0.228,0.764,0.992,100,94,6,31.674,68.36,,
EV026,3/19/18 3:06 PM,3/19/18 4:57 PM,23.382,0.464,1.394,1.858,100,66.5,33.5,53.78,70.88,,
EV026,3/19/18 12:04 PM,3/19/18 2:54 PM,34.542,0.797,2.031,2.828,75,76.5,-1.5,73.028,71.96,,
EV026,3/19/18 8:11 AM,3/19/18 11:53 AM,45.573,0.961,2.744,3.706,96.5,75.5,21,93.137,53.6,,
EV026,3/19/18 5:38 AM,3/19/18 8:00 AM,30.683,0.536,1.819,2.356,96,52,44,66.647,39.56,,
EV026,1/31/18 8:30 PM,1/31/18 9:47 PM,11.604,0.578,0.708,1.286,55.5,94.5,-39,22.883,54.32,,
EV026,1/31/18 6:05 PM,1/31/18 7:04 PM,11.76,0.194,0.792,0.986,82,58.5,23.5,23.331,58.64,,
EV026,1/31/18 2:51 PM,1/31/18 5:00 PM,14.325,1.200,0.950,2.150,73.5,56,17.5,30.561,66.56,,
EV026,1/31/18 1:03 PM,1/31/18 2:30 PM,13.02,0.619,0.817,1.436,100,83.5,16.5,28.397,69.44,,
EV026,1/31/18 11:05 AM,1/31/18 12:20 PM,12.51,0.392,0.847,1.239,100,84.5,15.5,29.83,64.4,,
EV026,1/31/18 5:50 AM,1/31/18 6:54 AM,13.382,0.350,0.719,1.069,73,54.5,18.5,29.319,41.72,,
EV026,1/26/18 5:10 PM,1/26/18 6:02 PM,10.469,0.233,0.631,0.864,99,62.5,36.5,23.178,51.8,,
EV026,1/26/18 12:04 PM,1/26/18 1:49 PM,15.659,0.786,0.961,1.747,100,48,52,37.111,59,,
EV026,1/26/18 7:08 AM,1/26/18 7:50 AM,10.162,0.144,0.556,0.700,90,49.5,40.5,23.156,40.28,,
EV026,1/24/18 5:50 PM,1/24/18 7:00 PM,11.611,0.433,0.728,1.161,83.5,37,46.5,22.598,50.36,,
EV026,1/24/18 3:05 PM,1/24/18 4:25 PM,11.988,0.450,0.872,1.322,100,54,46,27.104,54.68,,
EV026,1/23/18 6:15 AM,1/23/18 7:45 AM,17.062,0.592,0.900,1.492,75.5,45.5,30,43.652,47.48,,
EV026,1/22/18 6:36 PM,1/22/18 7:37 PM,10.436,0.367,0.650,1.017,89.5,81.5,8,21.387,51.08,,
EV026,1/22/18 2:30 PM,1/22/18 3:53 PM,12.666,0.564,0.817,1.381,65,50,15,29.38,57.2,,
EV026,1/19/18 1:10 PM,1/19/18 2:22 PM,11.703,0.517,0.686,1.203,97.5,65,32.5,27.237,61.88,,
EV026,1/18/18 5:25 PM,1/18/18 6:36 PM,10.413,0.494,0.689,1.183,99.5,67.5,32,19.446,54.68,,
EV026,1/18/18 1:10 PM,1/18/18 2:25 PM,11.53,0.469,0.778,1.247,99,87.5,11.5,23.401,58.28,,
EV026,1/18/18 12:06 PM,1/18/18 12:56 PM,10.341,0.183,0.650,0.833,100,80,20,21.25,56.84,,
EV026,1/17/18 6:41 PM,1/17/18 7:35 PM,11.05,0.264,0.639,0.903,88,83,5,20.637,53.6,,
EV026,1/17/18 2:10 PM,1/17/18 3:35 PM,14.986,0.453,0.961,1.414,92.5,75.5,17,31.943,55.4,,
EV026,1/12/18 2:30 PM,1/12/18 4:30 PM,16.485,0.986,1.011,1.997,83,89,-6,31.389,53.6,,
EV026,1/12/18 12:30 PM,1/12/18 1:48 PM,10.213,0.592,0.703,1.294,60,53,7,24.238,52.88,,
EV026,1/12/18 6:20 AM,1/12/18 7:45 AM,12.626,0.811,0.606,1.417,,49.5,-49.5,29.012,39.2,,
EV026,1/11/18 7:20 PM,1/11/18 8:25 PM,13.375,0.269,0.811,1.081,99,52.5,46.5,25.429,53.24,,
EV026,1/11/18 6:10 PM,1/11/18 7:05 PM,11.481,0.242,0.667,0.908,76.5,45.5,31,21.004,55.76,,
EV026,1/10/18 8:00 PM,1/10/18 9:13 PM,14.488,0.378,0.839,1.217,59.5,77.5,-18,26.207,54.68,,
EV026,1/10/18 5:13 PM,1/10/18 7:00 PM,18.991,0.664,1.119,1.783,100,47,53,36.609,56.84,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
