Vehicle ID,Date,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Percent Idling Time,Drive Cycle,Average Speed
EV217,02/24/2023,0.3100000000000023,0.1333333333333332,0.1216666666666665,0.2549999999999999,,,,,44.96,346.04,346.35,49.60398330088653,,1.2156862745098134
EV217,02/28/2023,0.7799999999999727,0.33333333333333237,0.235833333333333,0.5691666666666654,21,20,4,1.10714285714285,45.14,346.35,347.13,56.86892100257607,,1.3704245973645233
EV217,03/01/2023,1.009999999999991,0.2333333333333331,0.27027777777777756,0.5036111111111099,20,61,5,5.77167277167276,42.44,347.12,348.13,50.166324580353766,,2.005515719801421
EV217,03/03/2023,0.38999999999998636,0.0999999999999999,0.08388888888888874,0.1838888888888888,64,62,3,2.14535714285714,49.28,348.13,348.52,59.105092262611834,,2.120845921450078
EV217,03/08/2023,0.3900000000000432,1.4333333333333318,0.16583333333333314,1.5991666666666653,62,59,3,2.72805555555555,47.84,348.52,348.91,78.29507798274528,,0.2438770192809027
EV217,03/09/2023,2.169999999999959,3.3166666666666655,0.45722222222222125,3.7738888888888877,60,54,7,6.19999999999999,54.14,348.91,351.08,62.38677733484877,,0.5750036802590796
EV217,03/13/2023,0.3199999999999932,0.8166666666666663,0.17611111111111086,0.9927777777777772,,,,,53.78,351.08,351.4,17.95043919160179,,0.32232792389478904
EV217,03/14/2023,0.6299999999999955,0.0166666666666666,0.13444444444444428,0.151111111111111,52,89,1,1,52.7,351.39,352.02,9.0634441087613,,4.169117647058797
EV217,03/22/2023,1.4800000000000182,2.8166666666666598,0.3186111111111105,3.1352777777777687,86,92,5,9.72971927803377,45.32,352.02,353.5,84.03886163486068,,0.4720474882608382
EV217,03/23/2023,83.88,2.6833333333333296,4.728888888888885,7.412222222222199,92,49,40,257.431736707258,46.58,353.5,437.38,41.41099073529966,,11.316444311197756
EV217,03/24/2023,0.4700000000000273,0,0.0822222222222221,0.0822222222222221,94,93,1,1.51612903225806,50.54,437.38,437.85,0,,5.716216216216557
EV217,03/27/2023,84.42999999999995,3.116666666666663,4.299722222222217,7.416388888888865,94,45,50,286.962796377756,56.12,437.85,522.28,49.54002245955343,,11.384246600996322
EV217,03/28/2023,117.75,2.4666666666666623,5.143333333333329,7.609999999999988,,,,,57.56,522.28,640.03,47.04511268560025,,15.473061760841023
EV217,03/29/2023,0.6200000000000045,0.1999999999999993,0.1508333333333332,0.3508333333333319,,,,,46.04,640.03,640.65,32.945309650469,,1.767220902612847
