Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Max SOC,Min SOC,Percent Idling Time,Drive Cycle,Average Speed,Maximum Speed
EV203,12/16/2021,,80.6,,,12.2666666666667,98.85,29,69.85,241.47,47.46,,,100,28.47,,,11.8,40.1
EV203,12/17/2021,,88.6,,,12.35,92.66,25,67.66,243,45.54,,,92.66,25,,,12.67,38.8
EV203,12/18/2021,,0.4,,,,,,,11.83,,,,,,,,,
EV203,12/20/2021,,44.6,,,3.8,100,83,17,68.49,56.64,,,100,82.69,,,17.7,59.1
EV203,12/21/2021,,57.2,,,10.2666666666667,92.78,58,34.78,133.45,57.85,,,92.78,57.27,,,13.24,37.8
EV203,12/22/2021,,0,,,,,,,1.66,,,,,,,,,
EV203,12/23/2021,,0.2,,,,,,,5.21,,,,,,,,,
EV203,04/06/2022,,0,,,,,,,16.02,,,,,,,,,
EV203,04/07/2022,,105.3,,,14.7166666666667,100,48,52,178.03,,,,100,48,,,12.82,40.8
EV203,04/08/2022,,88.8,,,12.4,100,59,41,161.97,66.88,,,100,58.38,,,12.68,41.3
EV203,04/09/2022,,119,,,15.3,100,52,48,177.88,74.98,,,100,51.9,,,12.96,45.4
EV203,04/10/2022,,2.3,,,0.133333333333333,52.43,52,0.43,1.79,65.29,,,52.43,51.9,,,20.55,42.3
EV203,04/11/2022,,67,,,9.5,100,69,31,122.74,59.18,,,100,68.96,,,12.55,42.2
EV203,04/12/2022,,0.7,,,,,99,,4.86,,,,99,99,,,,
EV203,04/13/2022,,21.2,,,10.1333333333333,94.84,75,19.84,82.09,38.16,,,94.84,74.98,,,18.05,43.1
EV203,04/14/2022,,105.4,,,14.3666666666667,100,52,48,178.42,57.33,,,100,51.72,,,12.93,44.3
EV203,04/15/2022,,20.4,,,2.65,,84,,42.09,52.03,,,94.18,83.55,,,21.58,45.3
EV203,04/18/2022,,6.7,,,0.45,81.98,81,0.980000000000004,15.82,61.46,,,83.97,81,,,27.83,55.8
EV203,04/19/2022,,0,,,,,,,0.94,,,,,,,,,
EV203,04/20/2022,,105.4,,,14.55,100,61,39,149.3,72.96,,,100,60.6,,,11.37,37.5
EV203,04/21/2022,,109.2,,,15.2,100,57,43,166.26,75.02,,,100,57,,,11.91,43.9
EV203,04/22/2022,,103.1,,,15.1,100,49,51,187.19,75.63,,,100,48.62,,,12.98,53
EV203,04/23/2022,,35.2,,,1.83333333333333,100,86,14,64.05,59.89,,,100,85.89,,,35.12,65.5
EV203,04/24/2022,,103.9,,,14.8166666666667,100,42,58,214.92,55.69,,,100,41.61,,,12.88,40
EV203,04/25/2022,,83.7,,,12.2833333333333,100,64,36,142.17,58.63,,,100,63.61,,,12.52,42.1
EV203,04/26/2022,,103,,,15.15,100,56,44,170.58,71.11,,,100,56,,,12.64,42.3
EV203,04/27/2022,,105.1,,,15.1166666666667,99.73,46,53.73,187.08,72.33,,,99.73,46,,,13.26,42.1
EV203,04/28/2022,,107.2,,,14.5166666666667,100,59,41,162.21,76.51,,,100,58.86,,,13.15,43.2
EV203,04/29/2022,,88.9,,,12.25,99.41,61,38.41,139.52,63.89,,,99.41,60.98,,,12.12,45.5
EV203,04/30/2022,,92.1,,,12.95,96.69,51,45.69,92.1,67.51,,,99,50.18,,,13.64,44.7
