Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Max SOC,Min SOC,Maximum Speed,Average Speed,Percent Idling Time,Drive Cycle
EV173,03/07/2022,11,177,1.9166666666666667,4.1,6.016666666666667,,,,,32.9572855236364,,,,,43.60896003702016,15.057847820402264,0.3185595567867036,
EV173,03/08/2022,10,176,1.7666666666666666,4.016666666666667,5.783333333333333,,,,,30.3188,,,,,44.925137198759245,16.21430486775351,0.30547550432276654,
EV173,03/09/2022,9,171,1.7833333333333332,3.966666666666667,5.75,,,,,31.916,,,,,49.847777866150565,16.678322696509074,0.31014492753623185,
EV173,03/10/2022,9,172,1.9333333333333333,3.833333333333333,5.766666666666667,,,,,27.614,,,,,49.98586035331442,16.23770117848036,0.3352601156069364,
EV173,03/11/2022,9,175,1.7666666666666666,4,5.766666666666667,,,,,26.948,,,,,49.15736543033131,16.947307466695985,0.3063583815028902,
EV173,03/14/2022,11,177,1.6333333333333333,4.15,5.783333333333333,,,,,,,,,,44.456284390071076,14.94550014241607,0.2824207492795389,
EV173,03/15/2022,9,181,1.7166666666666666,4.25,5.966666666666667,,,,,38.242,,,,,49.1573654303313,16.39196862814182,0.2877094972067039,
EV173,03/16/2022,8,185,1.7333333333333334,4.366666666666666,6.1,,,,,47.34275,,,,,48.932981388690045,15.682579510871278,0.2841530054644809,
EV173,03/17/2022,9,181,1.5666666666666667,4.1,5.666666666666667,,,,,54.046,,,,,50.26202532764212,17.069076889005817,0.27647058823529413,
EV173,03/18/2022,10,192,1.7666666666666666,4.6,6.366666666666666,,,,,47.958807038,,,,,42.936749383599775,13.442459098980642,0.2774869109947644,
EV173,03/21/2022,9,177,1.5333333333333332,4.033333333333333,5.566666666666666,,,,,48.668,,,,,50.883396519879454,17.128925308025465,0.2754491017964072,
EV173,03/22/2022,9,174,1.5833333333333333,3.9166666666666665,5.5,,,,,42.572,,,,,50.607231545551755,17.246234514832604,0.28787878787878785,
